"صـ","سـ","المطلع","اسم الشاعر","سبب التصنيف","عدد الاَبيات","البحر","الروي","images"
"311","5","قال الزُّبَيرُ ولَمْ اَعْلَمْ بِنِيَّتِهٖ * - لِلهِ دَرُّكَ - هل في القوم عَمَّارٗ","رجل من بني ضبة","في لحوقه باَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>عند سماع ندم الزبير حينما اُخبر بوجود عمار بن ياسر <sup>رض</sup> في الكتيبة","6","البسيط","ر",
"313","7","يا رَبِّ اِنَّ مُسْلِمًا اَتَاهُمْ * بِالحقِّ والفُرقَانِ اِذ دَعَاهُمْ","اُم ذريح العبدية","في رثاء ابنها مسلم","4","الرجز","م",
"313","12","تَنَاوَلَهٗ منهم شَقِيٌّ بِضَرْبَةٍ * اَطاحتْ بِيُمْنٰى كَفِّهٖ حينَ يَضرِبٗ","الرجاف بن صعصعة المجاشعي","في رثاء مسلم","8","الطويل","ب",
"314","8","اِطْعَنْ بها طَعْنَ اَبيك تُحمَدٖ * لا خَيْرَ في الحَرْبِ اِذَا لَم تُوْقَدٖ<br>بِالْمَشْرَفِيِّ والَقنا المُسَدَّدٖ","محمد بن الحنفية","في حملته على اَصحاب الجمل حينما اَمره اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>بالاقتحام في الحرب ","3","الرجز","د",
"315","1","اَبا حَسَنٍ اَنت فَصلُ الاُمورِ * يَبِينُ لك الحِلُّ والمَحْرَمٗ","عمرو بن حارثة الاَنصاري","في اَمر اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>محمد بن الحنفية بالحملة على اَصحاب الجمل عند وقوفه عن ذلك","7","المتقارب","م",
"316","9","قد عِشْتِ يا نفسِ وقد عَنِيْتِ * دَهْرًا فبعدَ اليومِ ما بَقِيْتِ<br>اَمَا مَلَلْتِ طولَ ما حَيِيْتِ","العلاء بن عمرو بن سليم","في اَخذه الراية بعد قتل اَخيه","3","الرجز","ت",
"316","19","اَضرِبُكم ولا اَرٰى اَبا الحَسَنْ * ها اِنَّ هذا حَزَنٌ مِن الحَزَن","ابن اَبزي","في اَخذه خطام الجمل ","1","الرجز","ن",
"319","10","ِان تُنكروني فاَنا ابنُ يَثرِبِيّ * قاتلُ عَلْيَاءَ وهندِ الجَمَلِيّ<br>وزيدِ صوحانَ على دِينِ عَليّ","عمرو بن يثربي","في دعوته اِلى البراز وقتله هند الجملي","3","الرجز","ل",
"319","13","اُثْبُتْ فَاِنِّيَ ابْنُ عَمِّ الجَمَلِيّ * وكان عَلْيَاءُ على دِين عليّ<br>وزيدُ صوحانَ مِن الفَحْشا بَرِي","مالك الاَشتر <sup>رض</sup>","في خروجه اِلى عمرو بن اليثربي","3","الرجز","ل",
"321","1","اَ اَصرَعُ عَمْرًوا في العَجاجةِ جَهْرَةً * ويَحظٰى بها يومَ اللِّقَا مُهرُ مَالِكٖ","ابن طود","في نسبة قتل عمرو بن اليثربي اِلى نفسه بدل مولانا مالك الاَشتر<sup>رض</sup>","6","الطويل","ك",
"321","10","يا ابنَ طَودٍ اَطفَأْتُ جَمْرَةَ عَمْرٍو * ثم اَوهَنتُ حَدَّه عنك فَلَّا","مالك الاَشتر <sup>رض</sup>","في نسبة قتل عمرو بن اليثربي اِلى نفسه بدل ابن طود","5","الخفيف","ل",
"321","19","اَلَا ادْنُ منِّي يا عليُّ فِتْرَا * فاِنَّنِي دَانٍ اِليك شِبْرَا","عبد الله بن خلف الخزاعي","في دعوته اَميرَ المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>اِلى البراز","1","الرجز","ر",
"322","2","اِيَّايَ تَدْعُو في الوَغٰى فجَرِّبْ * اُثْبُتْ لِعَضْبٍ صَارمٍ مُشَطِّبٖ","اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","في خروجه اِلى مبارزة عبد الله بن خلف الخزاعي","1","الرجز","ب",
"327","13","يَا اَيُّها الشَّيخانِ قُولا واعْلَما * اِنَّ عَلِيًّا خيُر مَن تَكَلَّمَا","رجل من مراد من سلهم","في قصده نحو طلحة والزبير في جماعة قليلة من مراد","5","الرجز","م",
"328","5","وَاَشعَثَ قَوَّامٍ بِاٰيَاتِ رَبِّهٖ * قليلِ الاَذٰى فيما تَرى العَيْنُ مُسْلِمٖ","مالك الاَشتر <sup>رض</sup>","في مناشدة محمد بن طلحة له بـ""حمۤ"" عندما غشيه بالرمح","7","الطويل","م",
"330","2","مُحَمَّدُ ما في عُودِك اليومَ اُبْنَةٌ * وما كنتَ في الحَربِ الكَرِيهةِ قُعْدُدًا","خزيمة بن ثابت","في شأن مقاتلة الاِمامين الحسن والحسين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>ومحمد بن الحنفية","10","الطويل","د",
"332","2","تَرْكُ الاُمورِ التي تُخشٰى عَوَاقِبُها * لِلهِ اَسلَمُ في الدُّنْيا وَفي الدِّينٖ","الزبير بن العوام","في هروبه من معركة الجمل","9","البسيط","ن",
"334","10","اَتَيتُ علِيًّا بِرأس الزُّبَيرِ * وقد كُنتُ اَحسِبُها زُلْفَتِي","ابن جرموز","في قتله الزبير بن العوام وتبشير اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>له بالنار على ذلك","7","المتقارب","ت",
"335","1","غَدَرَ ابْنُ جُرمُوزٍ بِفَارِسِ بُهْمَةٍ * عندَ اللِّقاءِ وكان غيرَ مُعَرَّدٖ","عاتكة بنت زيد بن عمرو بن نفيل (امرأة الزبير) ","في قتل ابن جرموز الزبير وغدره به","4","الكامل","د",
"335","6","اِنِّي تُذَكِّرُنِي الزَّبَيرَ حَمامَةٌ * تَدْعُو بِمَجْمَعِ نَخلَتَينِ هَدِيْلَا","جرير بن الخطفاء","في تعيير بني مجاشع بقتل الزبير","4","الكامل","ل",
"335","15","وَلَّى الزُّبَيرُ عَلى سَراةِ مُقَلِّصٍ * فثَوى الشَّقِيُّ وَجَوفُه مَنْقُوبٗ","عبد الرحمن بن حنبل ","في قتل ابن جرموز الزبير وغدره به","7","الكامل","ب",
"336","17","نَدِمْتُ نَدَامَةً وَظَلَلْتُ حِلْمِي * فَلَهْفِي ثُمَّ لَهْفُ اَبِي وَاُمِّي","طلحة بن عبيد الله","في ندمه على الحرب بطلب دم عثمان","2","الوافر","م",
"338","13","عَقَرْتُ ولَم اَعْقِر بها مِن هَوَانِها * عليَّ ولٰكِنِّي رَأيتُ المَهَالِكا","عمرو بن عبد الله المرادي","في سب عائشة عاقر الجمل","10","الطويل","ك",
"341","16","كُنَّا اُناسًا على دِينٍ فَشَكَّكَنَا * اَمْرٌ له عند اَهلِ الدِّينِ تأويلٗ","الغلام الاَزدي","في رجوع قادة اَصحاب الجمل عن رأيهم","13","البسيط","ل",
"343","13","لقد اَوْرَدَتْنا اُمُّنا حَوْمَةَ الوَغٰى * فلَم نَنصَرِفْ اِلَّا ونحن رِواءٗ","رجل من اَهل الجمل","في ندمه على خروجه مع اَهل الجمل","4","الطويل","ء",
"345","1","اَلَا يا طَلْح خَبِّرنا بِعِلْمٍ * فكيف لنا بِرَجْعِ رَهِينِ قَبرٖ","عمرو بن عبد الله ","عند مرور اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>بطلحة وعبد الرحمن بن عتاب بن اُسيد وهما قتيلان","6","الوافر","ر",
"345","8","قد بَان طَلحةُ والفُؤَادُ جَرِيحٗ * ودُمُوعُ عَينِي فِي الرِّدَا مَسْفُوحٗ","عائشة بنت طلحة بن عبيد الله ","في رثاء اَبيها طلحة بن عبيد الله ","5","الكامل","ح",
"347","1","اُمَامة لَو حَلَلْتِ بِدَارِ قومٍ * هُم الاَعداءُ وَالْاَكْبَادُ سُوْدٗ","الاَعشٰى(اَمير المؤمنين <sup> </sup><sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup> متمثلا) ","في بيان مَثله ومَثل الوليد بن عقبة عندما اُتي به اِليه","2","الوافر","د",
"347","9","يا لَيْتَنِي كنتُ بِالغَورَينِ مِن يَمَنٍ * اَو سِرْوَ حِمْيَرَ اَو صنعاءَ والجَنَدٖ","الوليد بن عقبة","في ندمه على الخروج مع اَهل الجمل","14","الطويل","د",
"351","1","عائشةٌ جاءَتْ على مَحمِلٍ * وَهْيَ تُزَجِّيْ فيه اَوْلَادَها","قول البعض","في ورود عائشة المسلمين القتال مع دعواها اَنها اُمهم","2","السريع","د",
"353","4","اِذا ما سألتُ النِّصْفَ والحقُّ واضحٌ * عَلِيًّا اَتٰى بالتُّرَّهاتِ البَسَابِسٖ","رجل من غني","في طلبه التقسيم نساء اَهل الجمل واَبناءهم وتنحيه عنه ","2","الطويل","س",
"353","15","نَقمْتَ عَلى ذاك الاِمامِ فِعالَه * فدُونَك فَاشْرَبْها بِكَأسِ ابنِ مَرْوَانٖ","الاَشل","في بقاء الغنوي اِلى زمن الحجاج وقتله على يديه حسب دعاء اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>عليه","2","الطويل","ن",
"354","2","اَطعْنَاك في الحِلِّ والمَحْرَمٖ * وفِيما اَمَرْتَ مِن المَغْنَمٖ","عبد الله بن كامل الشاكري","في اِظهاره الطاعة لاَوامر اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","5","المتقارب","م",
"354","18","اِنَّما الاَمرُ ما تَراه لنا اليَو * مَ ومَهْما نَهَيْتَ عَنه انْتَهَيْنا","خزيمة بن ثابت الاَنصاري","في اِظهاره الطاعة لاَوامر اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup>","10","الخفيف","ن",
"357","12","ما زالَ اِهداءُ القصائِدِ بَينَنا * عَدَّ الذُّنوب وكَثْرةَ الاَلقابٖ","حصن بن عامر الاسدي<br>(عبد الله بن العباس متمثلا) ","في عتابه عائشة ووصف حالتها","2","الكامل","ب",
"358","5","مَنَنْتُ على قومٍ فَاَبْدَوا عدَاوةً * فَقُلْتُ لهم كُفُّوا العدَاوةَ والشُّكرَا"," اَخو بني فهر<br>(عبد الله بن العباس متمثلا)","في عدم شكر عائشة اِحسان بني هاشم اِليها","1","الطويل","ر",
"359","6","اَعائشُ لو لا اَنَّنِي كنتُ طاوِيًا * ثلاثًا لَاَلْفَيتِ ابْنَ اُخْتِكَ هالِكا","مالك الاشتر<sup>رض</sup>","في قتله عبد الله بن الزبير واعتراض عائشة عليه بحديث رسول الله <sup>صلع</sup>: ""لا يحل قتل امرء مسلم اِلا باِحدى ثلاث خصال…"" ","7","الطويل","ك",
"359","14","اَعائشُ اَلَّا تَتَّقِينَ خَطِيَّةً * نَهاكِ رسولُ اللهِ عَنها مُحَمَّدٗ","عمار بن ياسر<sup>رض</sup>","في ذكر وقعة الجمل","6","الطويل","د",
"360","5","رَأْيُ النِّسَاءِ ضَعِيفٌ حينَ تَخْبُرُهٗ * ما رأْي مَن هُوَ فِينا نِصفُ اِنسانٖ","خالد بن الواشمة","في تخليط عائشة بالترحم على زيد بن صوحان والزبير ","6","البسيط","ن",
"360","11","اَطعْنَاك يا خيرَ البَرِيَّةِ كلِّها * فطاعتُك الحقُّ الذي اَنت جامِعُه","الحجاج بن عرابة","في مدح اَمير المؤمنين <sup> </sup><sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>وذم عائشة","16","الطويل","ع",
"362","5","وذَكَّرَنِي الزُّبَيرَ صَهِيلُ طِرْفٍ * تَناولَه ابنُ جُرمُوزٍ بِغَدرٖ","عبد الله بن الزبير","في ذكرى الزبير عندما وجد فرسه في منصرفه من البصرة","10","الوافر","ر",
"364","17","اَمَا يَكْفِيكِ مَا اَحدَثْتِ حتّٰى * تَسُبِّيْنَ الغَداةَ اَبا الحُسَينٖ","امرأة من عبد القيس","في تنقيص عائشة اَميرَ المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>وثنائها على طلحة والزبير","9","الوافر","ن",
"366","3","فَقَالتْ اُمُّنَا ودَعَت عَلَينا * واَمُّ المؤمنين لها عَشِيَّة","سعيد بن وهب الهمداني","في سؤال المرأة عائشةَ في جزاء اُم اَفسدت بين اَولادها","4","الوافر","ي",
"367","4","لا عيشَ اِلا الجنةُ الُمخْضَرَّة * لا بأسَ بِالكرَّة بعد الفَرَّة","اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","في قول عمار بن ياسر<sup>رض</sup>: ""لو لا اَنا فرَرْنا ثم كرَرْنا"" ","1","الرجز","ر",
