"صـ","سـ","المطلع","اسم الشاعر","سبب التصنيف","عدد الاَبيات","البحر","الروي","images"
"167","1","فاِنْ يَكُ ظَنِّي بِابنِ اُمِّي صَادِقًا * عُمارةَ لا يَطلُبْ بِثأرٍ وَلا وِتْرٖ","الوليد بن عقبة بن اَبي معيط","في رثاء عثمان وتحريض اَخاه عُمارة على القيام بثأره","6","الطويل","ر",
"167","8","اَ تطلُبُ ثأرًا لستَ منه وَلا له * واَين الصَّفورِيُّ ابنُ ذَكْوَانَ مِن عَمْرٖو","الفضل بن العباس بن عتبة بن اَبي لهب","في جواب رثاء الوليد لعثمان وتحريضه اَخاه عُمارة على القيام بثأره","9","الطويل","ر",
"174","10","بَنِي هَاشِمٍ رُدُّوا سِلاحَ ابن اُختكِم * وَلَا تَنهَبُوه لَا تَحِلُّ مَنَاهِبُه","الوليد بن عقبة بن اَبي معيط","في ترك اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>صلب<sup> </sup>مال عثمان ميراثًا بين اَهله وولده","8","الطويل","ب",
"175","3","بَكَتْ عينُ من يبكي ابنَ عفَّاَن بعدَ ما * تَنَكَّبَ عَن نَهجِ المَحَجَّة جانِبُه","عبد الله بن اَبي سفيان بن الحارث بن عبد المطلب وقيل هي للفضل بن العباس بن عُتبة بن اَبي لهب","في جواب الوليد عند عتابه بني هاشم في اَمر قتل عثمان","36","الطويل","ب",
"179","1","لَعَمْرِي لقد بايَعْتُم ذا حفِيظَةٍ * على الدِّينِ معروفَ العَفافِ مُوَفَّقَا","عبد الرحمن بن حنبل الجمحي","في ذكر فضائل اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>وسوابقه وقرابته من رسول الله <sup>صلع</sup>","4","الطويل","ق",
"179","6","اِذا نحن تابَعْنا عليًّا فحَسْبُنا * اَبو حَسَنٍ مِمَّا نَخافُ مِن الفِتَن","خزيمة بن ثابت الاَنصاري","في ذكر فضائل اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>وسوابقه وقرابته من رسول الله <sup>صلع</sup>","8","الطويل","ن",
"180","14","تَقَدَّمْتُ لَمَّا لم اَجِد متقدِّما * اَمامي ولا خَلْفي مِن الموتِ مَزْحَلا","الوليد بن عقبة بن اَبي معيط","في اِظهار نفاقه واِصراره على بغيه وشقاقه","6","الطويل","ل",
"181","8","قد بَايَع الناسُ خيرَ الناسِ كلِّهِم * بعدَ النَّبِيِّ عَلِيًّا غيرَ ما كَذِبٖ","عمرو بن عبادة الانصاري","في ذكر معاريض القول لاَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>حينما سئل عن قتل عثمان","6","البسيط","ب",
"187","17","خذَلتْه الاَنصارُ اِذ عظُم الخطْ * ـبُ وكانت شِعارَه الانصارٗ","حسان بن ثابت","في قتل عثمان","13","الخفيف","ر",
"189","10","واِنَّ كلامَ المرء في غيرِ كُنهه * لكَالسَّهْمِ تَهوِي ليس فيها نِصَالهُا"," ابن هبيرة (مروان بن الحكم متمثلا)","في تمثيل اِكثار الناس الاَقاويل في قتل عثمان","1","الطويل","ل",
